"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"has been added to your quote cart","has been added to your quote cart"
"has been added to your cart","has been added to your cart"
"Add to Quote","Add to Quote"
"Add to Cart","Add to Cart"
"We can't add this item to your shopping cart right now. Please reload the page.","We can't add this item to your shopping cart right now. Please reload the page."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"%1 has been added to your quote cart","%1 has been added to your quote cart"
"%1 has been added to your cart","%1 has been added to your cart"
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"You need to choose options for your item.","You need to choose options for your item."
"Continue shopping","Continue shopping"
Cancel,Cancel
"Add to quote","Add to quote"
"Add to cart","Add to cart"
"Set options","Set options"
"There is","There is"
" item"," item"
"There are","There are"
" items"," items"
"Quote Cart","Quote Cart"
" in your quote cart."," in your quote cart."
"View Cart","View Cart"
" in your cart."," in your cart."
"Cart Subtotal:","Cart Subtotal:"
Information,Information
Continue,Continue
"Go to Checkout","Go to Checkout"
"We can't add this item to your shopping cart.","We can't add this item to your shopping cart."
"We can't find the quote item.","We can't find the quote item."
"%1 was updated in your quote cart.","%1 was updated in your quote cart."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
"We can't update the item right now.","We can't update the item right now."
"%1 has been added to your cart.","%1 has been added to your cart."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"in your cart","in your cart"
"More Choices:","More Choices:"
"You may be interested in the following items","You may be interested in the following items"
"in your quote cart","in your quote cart"
Center,Center
Top,Top
"Top Left","Top Left"
"Top Right","Top Right"
Left,Left
Right,Right
None,None
Related,Related
Cross-sell,Cross-sell
"CMS Static Block","CMS Static Block"
"Stay on Current Page","Stay on Current Page"
"Go to Category Page","Go to Category Page"
"Please select a static block","Please select a static block"
"Parent Configurable Product Image","Parent Configurable Product Image"
"Child Simple Product Image","Child Simple Product Image"
"Mini Product Page","Mini Product Page"
"Custom Options & Product Qty","Custom Options & Product Qty"
"Product Image","Product Image"
"Product Quantity Field","Product Quantity Field"
"Number of Products in Cart","Number of Products in Cart"
"Cart Subtotal","Cart Subtotal"
"Go to Checkout Button","Go to Checkout Button"
"Show Only if There Are Required Options","Show Only if There Are Required Options"
"Always Show All Custom Options","Always Show All Custom Options"
"%1 has been added to your Wish List.","%1 has been added to your Wish List."
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"In stock","In stock"
"Out of stock","Out of stock"
"Please choose the options for your item","Please choose the options for your item"
Qty,Qty
Update,Update
Close,Close
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"Ajax Shopping Cart","Ajax Shopping Cart"
General,General
"Enable Ajax Shopping Cart","Enable Ajax Shopping Cart"
"Enable Flying Image Effect","Enable Flying Image Effect"
"Set to ‘Yes' for a nice-looking visual effect. The product image 'flies' to the 'Top Cart' block in the top menu.","Set to ‘Yes' for a nice-looking visual effect. The product image 'flies' to the 'Top Cart' block in the top menu."
"Show the Product Qty Added to the Cart on the Product Listing","Show the Product Qty Added to the Cart on the Product Listing"
"Add Products to Compare with AJAX","Add Products to Compare with AJAX"
"Add Products to Wish List with AJAX","Add Products to Wish List with AJAX"
"Current functionality is not available with Multiple Wish Lists enabled.","Current functionality is not available with Multiple Wish Lists enabled."
"Show a Mini Cart once Item is Added","Show a Mini Cart once Item is Added"
"Set 'Yes' to Show a Mini Cart instead of Confirmation Pop-up once an item is added to the cart.","Set 'Yes' to Show a Mini Cart instead of Confirmation Pop-up once an item is added to the cart."
"Dialog Pop-up","Dialog Pop-up"
"Redirect to the Product Page","Redirect to the Product Page"
"Display Custom Options","Display Custom Options"
"Customers can select configurable products and custom options right on the category page. If the 'Show Only If There Are Required Options' is enabled and a product has at least one required option, all custom options including the required ones are shown.","Customers can select configurable products and custom options right on the category page. If the 'Show Only If There Are Required Options' is enabled and a product has at least one required option, all custom options including the required ones are shown."
"Pop-up for Composite Products","Pop-up for Composite Products"
"QTY Instant Change","QTY Instant Change"
"Choose yes, if you want to change the qty in the cart immediately after changing the qty in the dialog pop-up","Choose yes, if you want to change the qty in the cart immediately after changing the qty in the dialog pop-up"
"Confirmation Pop-up","Confirmation Pop-up"
"Dialog Close Delay (in seconds)","Dialog Close Delay (in seconds)"
"Set a timer for the Continue button. When the preset period expires, the dialog box disappears. If set to 0, dialog won’t be hidden automatically.","Set a timer for the Continue button. When the preset period expires, the dialog box disappears. If set to 0, dialog won’t be hidden automatically."
"Enable a Confirmation Pop-up on a Product Page","Enable a Confirmation Pop-up on a Product Page"
"Continue Button Action on a Product Page","Continue Button Action on a Product Page"
"Choose whether the Continue button on a product view page should link to the category page or remain on the product page.","Choose whether the Continue button on a product view page should link to the category page or remain on the product page."
"Confirmation Pop-up Display","Confirmation Pop-up Display"
"Align Pop-up","Align Pop-up"
"Choose where to locate the cart pop-up - Center, Top, Top left, Top right, Left, Right.","Choose where to locate the cart pop-up - Center, Top, Top left, Top right, Left, Right."
"Image Display for Configurable Products","Image Display for Configurable Products"
"Choose to display a Parent Configurable Product Image or a Child Simple Product Image.","Choose to display a Parent Configurable Product Image or a Child Simple Product Image."
"Display in Pop-up","Display in Pop-up"
"Choose what to display in the Confirmation Pop-up","Choose what to display in the Confirmation Pop-up"
"Selling Options","Selling Options"
"Block Type Displayed in the Confirmation Pop-up","Block Type Displayed in the Confirmation Pop-up"
Title,Title
Subtitle,Subtitle
"Products Qty Limit","Products Qty Limit"
"If more than 2 then slider is activated","If more than 2 then slider is activated"
"Select CMS Block","Select CMS Block"
"Please note. Some CMS blocks can break confirmation popup. We recommend to select mobile view optimized blocks.","Please note. Some CMS blocks can break confirmation popup. We recommend to select mobile view optimized blocks."
"Visual Options","Visual Options"
"Background Color","Background Color"
"Product Name Color","Product Name Color"
"Text Color","Text Color"
"Button Text Color","Button Text Color"
"Continue Button Color","Continue Button Color"
"View Cart Button Color","View Cart Button Color"
